m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1176,939,980,41,95.81632653,96.47649688,0.43582489,1.059149661,0.065646776,96.47649688Å}0.065646776
1249,1003,1040.83,37.8333,96.36540069,,0.012342363,,,
1241,988,1034.17,46.1667,95.53555025,,0.885380564,,,96.41085011
1200,965,1000,35,96.5,,0.000552397,,,to
1270,999,1058.33,59.3333,94.39399809,,4.336801205,,,96.54214366
1292,1033,1076.67,43.6667,95.94397541,,0.283579121,,,
1217,979,1014.17,35.1667,96.53213958,,0.00309611,,,
1186,941,988.333,47.3333,95.21082469,,1.601926088,,,
1246,1027,1038.33,11.3333,98.90882475,,5.916218855,,,
1244,999,1036.67,37.6667,96.36624963,,0.012154457,,,
1224,999,1020,21,97.94117647,,2.145286303,,,
1306,1015,1088.33,73.3333,93.26215394,,10.33200052,,,
1144,915,953.333,38.3333,95.97905454,,0.247448883,,,
1296,1034,1080,46,95.74074074,,0.541337096,,,
1232,996,1026.67,30.6667,97.01267204,,0.287483799,,,
1314,1065,1095,30,97.26027397,,0.614306531,,,
1335,1070,1112.5,42.5,96.17977528,,0.088043707,,,
1225,987,1020.83,33.8333,96.68603,,0.043904126,,,
1280,1033,1066.67,33.6667,96.84344736,,0.134652658,,,
1288,1029,1073.33,44.3333,95.86986295,,0.368004725,,,
1315,1069,1095.83,26.8333,97.55162753,,1.155905922,,,
1297,1036,1080.83,44.8333,95.85226169,,0.389669575,,,
1351,1090,1125.83,35.8333,96.81745912,,0.116255248,,,
1318,1041,1098.33,57.3333,94.7802573,,2.877228714,,,
1259,1013,1049.17,36.1667,96.55251294,,0.005778441,,,
1307,1050,1089.17,39.1667,96.40368354,,0.005301783,,,
1130,912,941.667,29.6667,96.84952324,,0.139148665,,,
1306,1052,1088.33,36.3333,96.66185808,,0.034358773,,,
1097,876,914.167,38.1667,95.82494227,,0.42452341,,,
1224,987,1020,33,96.76470588,,0.083064429,,,
1226,974,1021.67,47.6667,95.33410984,,1.30504815,,,
1237,1000,1030.83,30.8333,97.00920617,,0.283779192,,,
1184,966,986.667,20.6667,97.90537233,,2.04168505,,,
1180,952,983.333,31.3333,96.81359214,,0.113633214,,,
1324,1067,1103.33,36.3333,96.70724081,,0.05324276,,,
1222,971,1018.33,47.3333,95.35219428,,1.264056339,,,
1211,957,1009.17,52.1667,94.83040518,,2.70961787,,,
1222,993,1018.33,25.3333,97.51259415,,1.073497551,,,
