m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1221,717,1017.5,300.5,70.46683047,69.07831319,1.927980228,1.073560223,0.066539952,69.07831319Å}0.066539952
1261,722,1050.83,328.833,68.70759305,,0.137433426,,,
1366,781,1138.33,357.333,68.6092785,,0.219993536,,,69.01177324
1392,824,1160,336,71.03448276,,3.826599381,,,to
1296,728,1080,352,67.40740741,,2.791926134,,,69.14485314
1290,749,1075,326,69.6744186,,0.355341665,,,
1261,709,1050.83,341.833,67.47047572,,2.585141333,,,
1313,752,1094.17,342.167,68.7278942,,0.122793467,,,
1247,714,1039.17,325.167,68.70868097,,0.136627981,,,
1331,759,1109.17,350.167,68.42954642,,0.420898325,,,
1304,713,1086.67,373.667,65.61329566,,12.00634645,,,
1256,716,1046.67,330.667,68.40742545,,0.450090354,,,
1256,709,1046.67,337.667,67.73863778,,1.794730217,,,
1285,744,1070.83,326.833,69.4788155,,0.160402099,,,
1204,695,1003.33,308.333,69.26933312,,0.036488614,,,
1277,734,1064.17,330.167,68.97394213,,0.010893317,,,
1349,797,1124.17,327.167,70.89675049,,3.306714219,,,
1260,691,1050,359,65.80952381,,10.68498401,,,
1256,713,1046.67,333.667,68.12080216,,0.916827367,,,
1276,727,1063.33,336.333,68.37012028,,0.501537194,,,
1268,731,1056.67,325.667,69.17959249,,0.010257497,,,
1348,786,1123.33,337.333,69.97053404,,0.79605804,,,
1221,709,1017.5,308.5,69.68058968,,0.362736971,,,
1283,732,1069.17,337.167,68.46432279,,0.376984208,,,
1322,776,1101.67,325.667,70.43851607,,1.850151878,,,
1346,787,1121.67,334.667,70.16323874,,1.177063454,,,
1370,805,1141.67,336.667,70.51074303,,2.051855259,,,
1399,794,1165.83,371.833,68.10598458,,0.945422931,,,
1320,761,1100,339,69.18181818,,0.010713283,,,
1296,724,1080,356,67.03703704,,4.166808333,,,
1298,748,1081.67,333.667,69.15232927,,0.00547838,,,
1300,752,1083.33,331.333,69.4155982,,0.113761179,,,
1342,780,1118.33,338.333,69.74685469,,0.446947731,,,
1379,802,1149.17,347.167,69.78950025,,0.505787031,,,
1265,735,1054.17,319.167,69.72309969,,0.41574963,,,
1322,747,1101.67,354.667,67.80614885,,1.618402116,,,
1315,762,1095.83,333.833,69.53633319,,0.209782321,,,
1365,796,1137.5,341.5,69.97802198,,0.809475903,,,
1246,730,1038.33,308.333,70.30520162,,1.505255224,,,
1280,742,1066.67,324.667,69.56228262,,0.234226407,,,
1310,756,1091.67,335.667,69.25169694,,0.030061925,,,
1308,761,1090,329,69.81651376,,0.544940084,,,
1311,751,1092.5,341.5,68.74141876,,0.113497854,,,
1287,758,1072.5,314.5,70.67599068,,2.552573349,,,
1243,707,1035.83,328.833,68.2544433,,0.678761601,,,
1288,740,1073.33,333.333,68.94431349,,0.017955919,,,
1251,714,1042.5,328.5,68.48920863,,0.347044179,,,
1304,734,1086.67,352.667,67.54580507,,2.348581125,,,
1259,723,1049.17,326.167,68.91161585,,0.027788004,,,
1287,729,1072.5,343.5,67.97202797,,1.223866984,,,
1306,747,1088.33,341.333,68.63726995,,0.194519143,,,
1319,748,1099.17,351.167,68.05134784,,1.05465784,,,
1249,684,1040.83,356.833,65.71678372,,11.29988037,,,
1275,719,1062.5,343.5,67.67058824,,1.981689548,,,
1275,725,1062.5,337.5,68.23529412,,0.710681156,,,
1317,760,1097.5,337.5,69.24829157,,0.02889265,,,
1297,746,1080.83,334.833,69.02103013,,0.003281348,,,
1265,716,1054.17,338.167,67.92073385,,1.339989934,,,
1306,756,1088.33,332.333,69.46422501,,0.148927929,,,
1266,729,1055,326,69.09952607,,0.000449986,,,
1241,715,1034.17,319.167,69.13756926,,0.003511282,,,
1357,773,1130.83,357.833,68.35687062,,0.520479386,,,
1232,701,1026.67,325.667,68.27899909,,0.638903024,,,
1264,714,1053.33,339.333,67.78502464,,1.672595284,,,
1344,770,1120,350,68.75,,0.107789551,,,
1254,718,1045,327,68.70813397,,0.137032654,,,
1277,739,1064.17,325.167,69.44379188,,0.133574669,,,
1310,762,1091.67,329.667,69.80131358,,0.522729569,,,
1269,733,1057.5,324.5,69.3144208,,0.055746805,,,
1308,752,1090,338,68.99082569,,0.007654063,,,
1331,760,1109.17,349.167,68.51970392,,0.312044313,,,
1252,721,1043.33,322.333,69.10565209,,0.000747416,,,
1293,746,1077.5,331.5,69.23433875,,0.024343974,,,
1335,742,1112.5,370.5,66.69662921,,5.672418564,,,
1317,750,1097.5,347.5,68.33712984,,0.549352758,,,
1276,734,1063.33,329.333,69.02842956,,0.002488377,,,
1252,754,1043.33,289.333,72.2686015,,10.17793948,,,
1241,704,1034.17,330.167,68.07391435,,1.008817036,,,
1243,724,1035.83,311.833,69.89563925,,0.668021882,,,
1189,667,990.833,323.833,67.31709582,,3.101886634,,,
1254,713,1045,332,68.22966507,,0.720203629,,,
1348,774,1123.33,349.333,68.90228161,,0.030987117,,,
1324,762,1103.33,341.333,69.06365276,,0.000214928,,,
