m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1228,838,1023.33,185.333,81.88951756,83.36872893,2.188066291,1.705126679,0.105684847,83.36872893Å}0.105684847
1163,823,969.167,146.167,84.9182855,,2.401125553,,,
1207,828,1005.83,177.833,82.32007397,,1.099677228,,,83.26304408
1139,806,949.167,143.167,84.91656368,,2.395792418,,,to
1021,719,850.833,131.833,84.50541998,,1.292066549,,,83.47441378
1215,830,1012.5,182.5,81.97530864,,1.941620099,,,
1182,833,985,152,84.56852792,,1.439517613,,,
1216,850,1013.33,163.333,83.88185487,,0.263298235,,,
1187,834,989.167,155.167,84.3133667,,0.892340519,,,
1011,693,842.5,149.5,82.25519288,,1.239962538,,,
1163,823,969.167,146.167,84.9182855,,2.401125553,,,
1434,1038,1195,157,86.86192469,,12.20241659,,,
1182,848,985,137,86.09137056,,7.412777437,,,
1153,804,960.833,156.833,83.67739243,,0.095273156,,,
1173,819,977.5,158.5,83.78516624,,0.173420034,,,
1209,866,1007.5,141.5,85.95533499,,6.690530897,,,
1208,829,1006.67,177.667,82.35072069,,1.036340771,,,
1189,817,990.833,173.833,82.45587299,,0.833305971,,,
1252,868,1043.33,175.333,83.19515398,,0.030128264,,,
1167,808,972.5,164.5,83.0848329,,0.080596953,,,
1234,863,1028.33,165.333,83.92247625,,0.306636092,,,
1250,873,1041.67,168.667,83.80773182,,0.192723533,,,
1237,858,1030.83,172.833,83.2338989,,0.018179138,,,
1129,761,940.833,179.833,80.88576825,,6.165093738,,,
1103,772,919.167,147.167,83.98909012,,0.384848008,,,
1288,891,1073.33,182.333,83.01268016,,0.126770724,,,
1173,829,977.5,148.5,84.80818414,,2.072031311,,,
1168,807,973.333,166.333,82.9109873,,0.209527401,,,
1279,891,1065.83,174.833,83.59682126,,0.052026109,,,
1189,840,990.833,150.833,84.77715215,,1.983655977,,,
1159,819,965.833,146.833,84.79726826,,2.040724631,,,
1076,748,896.667,148.667,83.42004334,,0.002633168,,,
1285,887,1070.83,183.833,82.83294267,,0.287066916,,,
1370,973,1141.67,168.667,85.22602854,,3.449561831,,,
1167,810,972.5,162.5,83.29048843,,0.006121576,,,
1171,781,975.833,194.833,80.03418618,,11.11917537,,,
1234,855,1028.33,173.333,83.14451587,,0.050271498,,,
1078,749,898.333,149.333,83.37665431,,6.28117E-05,,,
1278,897,1065,168,84.22535211,,0.733803277,,,
1154,821,961.667,140.667,85.37258739,,4.015448738,,,
1237,882,1030.83,148.833,85.56211985,,4.810963707,,,
1181,805,984.167,179.167,81.7950612,,2.476430112,,,
1131,771,942.5,171.5,81.80371353,,2.449273209,,,
1140,789,950,161,83.05263158,,0.099917535,,,
1213,864,1010.83,146.833,85.47431319,,4.433485068,,,
1280,885,1066.67,181.667,82.96849072,,0.160190622,,,
1023,706,852.5,146.5,82.81524927,,0.306339738,,,
1162,834,968.333,134.333,86.12739626,,7.610245423,,,
1245,855,1037.5,182.5,82.40963855,,0.919854349,,,
1166,807,971.667,164.667,83.05314475,,0.099593375,,,
1111,772,925.833,153.833,83.38436846,,0.000244595,,,
1245,851,1037.5,186.5,82.02409639,,1.80803668,,,
1378,953,1148.33,195.333,82.99008125,,0.143374067,,,
1206,833,1005,172,82.88557214,,0.233440484,,,
1300,891,1083.33,192.333,82.24640691,,1.259606712,,,
1235,834,1029.17,195.167,81.03617478,,5.440808855,,,
1109,781,924.167,143.167,84.50853579,,1.299159689,,,
1232,859,1026.67,167.667,83.66855952,,0.089898381,,,
1185,826,987.5,161.5,83.64556962,,0.076640768,,,
1330,917,1108.33,191.333,82.73709094,,0.398966552,,,
1169,817,974.167,157.167,83.86652391,,0.247799844,,,
1295,855,1079.17,224.167,79.22755451,,17.14932558,,,
1127,788,939.167,151.167,83.90414058,,0.286665639,,,
1250,870,1041.67,171.667,83.51973274,,0.02280215,,,
1422,975,1185,210,82.27848101,,1.188640521,,,
1120,766,933.333,167.333,82.07145788,,1.68291217,,,
1139,789,949.167,160.167,83.12551953,,0.05915081,,,
1132,803,943.333,140.333,85.12370499,,3.079940974,,,
1242,877,1035,158,84.73429952,,1.864783028,,,
1203,832,1002.5,170.5,82.9925187,,0.141534135,,,
1226,871,1021.67,150.667,85.25257666,,3.548882284,,,
1107,757,922.5,165.5,82.0596206,,1.71376463,,,
1230,852,1025,173,83.12195122,,0.060899238,,,
1100,789,916.667,127.667,86.07269597,,7.311437773,,,
1342,938,1118.33,180.333,83.87506371,,0.256374911,,,
1186,824,988.333,164.333,83.3727094,,1.58441E-05,,,
1218,835,1015,180,82.26600985,,1.215989365,,,
1220,841,1016.67,175.667,82.72104026,,0.419500615,,,
1042,742,868.333,126.333,85.45108846,,4.336221233,,,
1256,837,1046.67,209.667,79.96789819,,11.56564971,,,
1245,851,1037.5,186.5,82.02409639,,1.80803668,,,
1134,785,945,160,83.06878307,,0.08996752,,,
1200,836,1000,164,83.6,,0.053486308,,,
1167,827,972.5,145.5,85.03856041,,2.788337176,,,
1121,783,934.167,151.167,83.81798972,,0.201835255,,,
1138,791,948.333,157.333,83.40951965,,0.001663883,,,
1249,904,1040.83,136.833,86.85376094,,12.14544812,,,
