m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1191,919,992.5,73.5,92.59445844,87.45369246,26.42747484,2.41664126,0.149784977,87.45369246±0.149784977
1486,1055,1238.33,183.333,85.19538411,,5.099956622,,,
1627,1133,1355.83,222.833,83.56504872,,15.12155017,,,87.30390748
1368,999,1140,141,87.63157895,,0.031643602,,,to
1179,858,982.5,124.5,87.32824427,,0.015737247,,,87.60347743
1261,890,1050.83,160.833,84.69495542,,7.610630077,,,
1348,976,1123.33,147.333,86.88453081,,0.323944979,,,
1496,1094,1246.67,152.667,87.75377606,,0.090050167,,,
1519,1093,1265.83,172.833,86.34650782,,1.225857816,,,
1236,881,1030,149,85.53398058,,3.685293693,,,
1245,898,1037.5,139.5,86.55421687,,0.809056342,,,
1409,1011,1174.17,163.167,86.10337515,,1.823356837,,,
1563,1170,1302.5,132.5,89.82725528,,5.633800452,,,
1224,855,1020,165,83.82352941,,13.17808376,,,
1410,1032,1175,143,87.82978723,,0.141447279,,,
1160,847,966.667,119.667,87.62065944,,0.027877973,,,
1604,1205,1336.67,131.667,90.14940112,,7.266845199,,,
1354,1020,1128.33,108.333,90.39908537,,8.675339418,,,
1375,981,1145.83,164.833,85.61479452,,3.381545649,,,
1151,883,959.167,76.1667,92.05904707,,21.20929107,,,
1341,943,1117.5,174.5,84.38478747,,9.418177825,,,
1393,977,1160.83,183.833,84.1639172,,10.82262128,,,
1282,937,1068.33,131.333,87.70698193,,0.064155553,,,
1194,827,995,168,83.11557789,,18.81923803,,,
1209,917,1007.5,90.5,91.01736973,,12.69979566,,,
1342,996,1118.33,122.333,89.06136829,,2.584621575,,,
1151,893,959.167,66.1667,93.10161838,,31.89906724,,,
1407,987,1172.5,185.5,84.17910448,,10.72292645,,,
1344,967,1120,153,86.33928571,,1.241902395,,,
1393,1038,1160.83,122.833,89.41877794,,3.861560957,,,
1566,1191,1305,114,91.26436782,,14.52124667,,,
1372,961,1143.33,182.333,84.05272319,,11.566592,,,
1056,732,880,148,83.18181818,,18.24890985,,,
1381,1025,1150.83,125.833,89.06615226,,2.600026592,,,
1388,1017,1156.67,139.667,87.92481866,,0.221959897,,,
1305,987,1087.5,100.5,90.75862069,,10.9225506,,,
1501,1055,1250.83,195.833,84.34399559,,9.670214642,,,
1147,857,955.833,98.8333,89.66001383,,4.867853992,,,
1212,882,1010,128,87.32673267,,0.016118787,,,
1573,1113,1310.83,197.833,84.90803537,,6.480370036,,,
1218,880,1015,135,86.69950739,,0.568795121,,,
1100,796,916.667,120.667,86.83633206,,0.381133864,,,
1408,1024,1173.33,149.333,87.27297521,,0.032658725,,,
1281,957,1067.5,110.5,89.64871194,,4.818110534,,,
1447,1075,1205.83,130.833,89.15021189,,2.878178167,,,
1323,969,1102.5,133.5,87.89115646,,0.191374754,,,
1261,948,1050.83,102.833,90.21440195,,7.621516882,,,
1256,924,1046.67,122.667,88.27997363,,0.682740573,,,
1298,973,1081.67,108.667,89.95349783,,6.249026898,,,
1127,809,939.167,130.167,86.14016464,,1.725355346,,,
1491,1108,1242.5,134.5,89.1750503,,2.96307282,,,
1381,954,1150.83,196.833,82.89669195,,20.76625362,,,
1426,1012,1188.33,176.333,85.1615292,,5.254012388,,,
1330,960,1108.33,148.333,86.61680186,,0.700385885,,,
1354,944,1128.33,184.333,83.66346725,,14.36580716,,,
1328,942,1106.67,164.667,85.12022554,,5.44506786,,,
1480,1088,1233.33,145.333,88.21645464,,0.581806142,,,
1605,1147,1337.5,190.5,85.75700935,,2.87873359,,,
1347,1008,1122.5,114.5,89.79955457,,5.503069019,,,
1364,979,1136.67,157.667,86.12877968,,1.755393872,,,
1422,1044,1185,141,88.10126582,,0.41935126,,,
1355,1033,1129.17,96.1667,91.48312477,,16.23632477,,,
1242,908,1035,127,87.7294686,,0.076052479,,,
1356,1025,1130,105,90.7079646,,10.59028717,,,
1387,997,1155.83,158.833,86.25835979,,1.428820184,,,
1202,858,1001.67,143.667,85.65695289,,3.228273087,,,
1471,1084,1225.83,141.833,88.42988016,,0.952942431,,,
1481,1055,1234.17,179.167,85.48255103,,3.885398552,,,
1324,893,1103.33,210.333,80.93680041,,42.46988195,,,
1305,960,1087.5,127.5,88.27586207,,0.675962866,,,
1538,1126,1281.67,155.667,87.85412782,,0.160348476,,,
1302,900,1085,185,82.94930876,,20.28947256,,,
1334,954,1111.67,157.667,85.81683413,,2.679305185,,,
1434,1041,1195,154,87.11297071,,0.11609131,,,
1136,859,946.667,87.6667,90.73940467,,10.79590472,,,
1220,899,1016.67,117.667,88.42593959,,0.945264476,,,
1336,979,1113.33,134.333,87.93439501,,0.231074945,,,
1226,876,1021.67,145.667,85.74197148,,2.92998872,,,
1349,951,1124.17,173.167,84.59574619,,8.167856854,,,
1224,891,1020,129,87.35294118,,0.010150821,,,
1443,1076,1202.5,126.5,89.48024948,,4.106933356,,,
1549,1135,1290.83,155.833,87.92792234,,0.224893983,,,
1314,969,1095,126,88.49315068,,1.080473401,,,
1345,987,1120.83,133.833,88.05974144,,0.367295368,,,
1245,890,1037.5,147.5,85.78313253,,2.790770479,,,
1512,1051,1260,209,83.41269841,,16.32963289,,,
1372,997,1143.33,146.333,87.20142041,,0.063641186,,,
1408,948,1173.33,225.333,80.79568408,,44.32907561,,,
1337,988,1114.17,126.167,88.67587532,,1.493730932,,,
1355,1023,1129.17,106.167,90.59751853,,9.883642367,,,
1317,963,1097.5,134.5,87.74487472,,0.084787106,,,
1481,1079,1234.17,155.167,87.42717778,,0.000703028,,,
1341,940,1117.5,177.5,84.1163311,,11.13798087,,,
1312,936,1093.33,157.333,85.6100171,,3.399138819,,,
1305,941,1087.5,146.5,86.52873563,,0.855545133,,,
1206,866,1005,139,86.16915423,,1.650038467,,,
1180,823,983.333,160.333,83.69494363,,14.1281928,,,
1457,1036,1214.17,178.167,85.3257781,,4.528019508,,,
1321,982,1100.83,118.833,89.20541773,,3.068541422,,,
1400,1004,1166.67,162.667,86.05689698,,1.951037612,,,
1248,932,1040,108,89.61538462,,4.672912975,,,
1248,974,1040,66,93.65384615,,38.44190583,,,
1440,1062,1200,138,88.5,,1.094759468,,,
1619,1186,1349.17,163.167,87.9058977,,0.204489579,,,
1362,938,1135,197,82.64317181,,23.14110896,,,
1318,1000,1098.33,98.3333,91.04731729,,12.91413942,,,
1411,1043,1175.83,132.833,88.70329895,,1.561516371,,,
1241,939,1034.17,95.1667,90.7974511,,11.18072182,,,
1294,946,1078.33,132.333,87.72824646,,0.075379896,,,
1356,991,1130,139,87.69911504,,0.060232245,,,
1341,985,1117.5,132.5,88.14317673,,0.475388564,,,
1146,808,955,147,84.60732984,,8.101780148,,,
1167,837,972.5,135.5,86.06683805,,1.923365165,,,
1291,939,1075.83,136.833,87.28144781,,0.029668219,,,
1571,1153,1309.17,156.167,88.07106793,,0.381152469,,,
1257,906,1047.5,141.5,86.49164678,,0.925531894,,,
1343,1020,1119.17,99.1667,91.13896906,,13.5812636,,,
1336,957,1113.33,156.333,85.95834119,,2.236075413,,,
1266,912,1055,143,86.44549763,,1.016456815,,,
1641,1209,1367.5,158.5,88.4095064,,0.913580285,,,
1349,986,1124.17,138.167,87.70915431,,0.065260756,,,
1332,940,1110,170,84.68468468,,7.66740406,,,
1379,1052,1149.17,97.1667,91.544332,,16.73333181,,,
1328,958,1106.67,148.667,86.56600432,,0.787990235,,,
1366,1016,1138.33,122.333,89.25355565,,3.239507493,,,
1309,1013,1090.83,77.8333,92.86506605,,29.28296414,,,
1276,977,1063.33,86.3333,91.88116577,,19.60251993,,,
1201,895,1000.83,105.833,89.42577661,,3.889115877,,,
1460,1071,1216.67,145.667,88.02715609,,0.328860535,,,
1341,972,1117.5,145.5,86.97986577,,0.22451173,,,
1412,1020,1176.67,156.667,86.68530684,,0.59041646,,,
1660,1208,1383.33,175.333,87.32551163,,0.016430326,,,
1503,1082,1252.5,170.5,86.38722555,,1.137351672,,,
1445,1011,1204.17,193.167,83.9582451,,12.21815226,,,
1319,950,1099.17,149.167,86.42885086,,1.050300305,,,
1309,981,1090.83,109.833,89.93152004,,6.139629492,,,
1271,881,1059.17,178.167,83.17833776,,18.27865785,,,
1165,850,970.833,120.833,87.55367813,,0.009997134,,,
1553,1163,1294.17,131.167,89.86454639,,5.812216666,,,
1421,991,1184.17,193.167,83.68730841,,14.18564881,,,
1356,1012,1130,118,89.55752212,,4.426099255,,,
1298,954,1081.67,127.667,88.19695471,,0.552438771,,,
1575,1150,1312.5,162.5,87.61904762,,0.027342329,,,
1413,1013,1177.5,164.5,86.02972399,,2.027686199,,,
1467,1100,1222.5,122.5,89.9795501,,6.379956829,,,
1178,831,981.667,150.667,84.65192372,,7.849908086,,,
1343,1001,1119.17,118.167,89.44128238,,3.950513686,,,
1330,923,1108.33,185.333,83.27844595,,17.43268342,,,
1607,1148,1339.17,191.167,85.72473995,,2.989276779,,,
1447,1087,1205.83,118.833,90.14537704,,7.245165895,,,
1301,985,1084.17,99.1667,90.85291052,,11.55468343,,,
1192,889,993.333,104.333,89.49667433,,4.173774912,,,
1387,1022,1155.83,133.833,88.42130763,,0.936279121,,,
1286,934,1071.67,137.667,87.1536947,,0.089998656,,,
1738,1285,1448.33,163.333,88.72287393,,1.610821605,,,
1290,936,1075,139,87.06976744,,0.14739842,,,
1251,933,1042.5,109.5,89.49640288,,4.172665851,,,
1521,1091,1267.5,176.5,86.07495069,,1.900928867,,,
1355,1013,1129.17,116.167,89.71191229,,5.099556799,,,
1307,937,1089.17,152.167,86.02881093,,2.030287376,,,
1156,874,963.333,89.3333,90.72667499,,10.71241465,,,
