m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1327,769,1105.83,336.833,69.54052612,69.14998482,0.152522508,1.019616164,0.063196465,69.14998482Å}0.063196465
1300,747,1083.33,336.333,68.95405832,,0.038387193,,,
1278,737,1065,328,69.20187793,,0.002692895,,,69.08678835
1304,754,1086.67,332.667,69.38629023,,0.055840245,,,to
1342,778,1118.33,340.333,69.5680166,,0.174750566,,,69.21318128
1389,786,1157.5,371.5,67.9049676,,1.550067872,,,
1338,780,1115,335,69.95515695,,0.64830216,,,
1378,819,1148.33,329.333,71.32096174,,4.713140806,,,
1342,754,1118.33,364.333,67.42195953,,2.986071407,,,
1405,816,1170.83,354.833,69.6941486,,0.296114215,,,
1400,814,1166.67,352.667,69.77122923,,0.385944611,,,
1404,817,1170,353,69.82905983,,0.461142868,,,
1268,722,1056.67,334.667,68.32786016,,0.675888949,,,
1310,765,1091.67,326.667,70.0761219,,0.8577299,,,
1300,769,1083.33,314.333,70.9848338,,3.366670778,,,
1239,706,1032.5,326.5,68.37772397,,0.596386819,,,
1347,777,1122.5,345.5,69.22048998,,0.004970977,,,
1343,781,1119.17,338.167,69.78385768,,0.401794803,,,
1463,832,1219.17,387.167,68.24314903,,0.822351154,,,
1429,816,1190.83,374.833,68.52363478,,0.392314378,,,
1297,749,1080.83,331.833,69.2985946,,0.022084866,,,
1285,739,1070.83,331.833,69.01188797,,0.019070739,,,
1258,732,1048.33,316.333,69.82534126,,0.456106317,,,
1418,802,1181.67,379.667,67.87004832,,1.63823744,,,
1328,753,1106.67,353.667,68.04196373,,1.227710738,,,
1306,756,1088.33,332.333,69.46422501,,0.098746894,,,
1285,752,1070.83,318.833,70.22589954,,1.157592476,,,
1333,759,1110.83,351.833,68.3272868,,0.676832026,,,
1355,771,1129.17,358.167,68.28024124,,0.756453896,,,
1370,797,1141.67,344.667,69.81001515,,0.435640041,,,
1367,784,1139.17,355.167,68.8220371,,0.107549709,,,
1345,773,1120.83,347.833,68.96674786,,0.033575785,,,
1368,795,1140,345,69.73684211,,0.344401473,,,
1331,750,1109.17,359.167,67.61812887,,2.346582648,,,
1323,761,1102.5,341.5,69.02494331,,0.015635379,,,
1334,758,1111.67,353.667,68.18570259,,0.929840216,,,
1333,755,1110.83,355.833,67.9671957,,1.398990101,,,
1407,817,1172.5,355.5,69.68017058,,0.281096936,,,
1387,815,1155.83,340.833,70.51209953,,1.855356484,,,
1272,762,1060,298,71.88679245,,7.490116019,,,
1176,667,980,313,68.06122449,,1.185399057,,,
1294,740,1078.33,338.333,68.62463253,,0.275995025,,,
1378,794,1148.33,354.333,69.14388721,,3.71808E-05,,,
1312,778,1093.33,315.333,71.15875353,,4.035151741,,,
1371,816,1142.5,326.5,71.42231947,,5.163504784,,,
1405,810,1170.83,360.833,69.18169162,,0.001005321,,,
1333,756,1110.83,354.833,68.05721848,,1.194138282,,,
1358,772,1131.67,359.667,68.21776666,,0.869030691,,,
1349,782,1124.17,342.167,69.56243273,,0.170113277,,,
1296,726,1080,354,67.22222222,,3.716268633,,,
