m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1130,833,941.667,108.667,88.46014568,88.35108719,0.011893754,1.216669969,0.075409986,88.35108719±0.075409986
1127,830,939.167,109.167,88.37618869,,0.000630085,,,
1144,854,953.333,99.3333,89.5804509,,1.511335137,,,88.2756772
1037,764,864.167,100.167,88.40883764,,0.003335115,,,to
1070,784,891.667,107.667,87.92520078,,0.181379238,,,88.42649717
1089,804,907.5,103.5,88.59504132,,0.059513619,,,
1130,817,941.667,124.667,86.76103124,,2.52827794,,,
1102,787,918.333,131.333,85.69876069,,7.034835867,,,
1014,749,845,96,88.63905325,,0.082924454,,,
1142,832,951.667,119.667,87.42553855,,0.856640276,,,
1094,804,911.667,107.667,88.19009573,,0.025918252,,,
1159,866,965.833,99.8333,89.66353396,,1.722516537,,,
1125,815,937.5,122.5,86.93333333,,2.010025998,,,
1096,793,913.333,120.333,86.82484921,,2.329402383,,,
1062,789,885,96,89.15254237,,0.64233041,,,
1056,790,880,90,89.77272727,,2.021060525,,,
1111,822,925.833,103.833,88.78491045,,0.188202624,,,
1057,778,880.833,102.833,88.32548281,,0.000655584,,,
1061,779,884.167,105.167,88.10552758,,0.060299524,,,
1052,783,876.667,93.6667,89.31555539,,0.930198915,,,
1076,798,896.667,98.6667,88.99624944,,0.416234334,,,
1135,839,945.833,106.833,88.70487708,,0.125167284,,,
1113,823,927.5,104.5,88.73315364,,0.145974771,,,
1066,789,888.333,99.3333,88.81804458,,0.218049208,,,
1020,745,850,105,87.64705882,,0.495655941,,,
1122,821,935,114,87.80748663,,0.295501568,,,
1045,765,870.833,105.833,87.84692358,,0.254180948,,,
1102,824,918.333,94.3333,89.72780026,,1.895338889,,,
1023,764,852.5,88.5,89.61876833,,1.607015469,,,
1040,735,866.667,131.667,84.80765969,,12.55587845,,,
1143,840,952.5,112.5,88.18897638,,0.026279915,,,
1071,795,892.5,97.5,89.07563025,,0.524962649,,,
1114,825,928.333,103.333,88.86897266,,0.268205364,,,
1009,762,840.833,78.8333,90.6244165,,5.168026157,,,
1194,894,995,101,89.84924623,,2.244480513,,,
1144,852,953.333,101.333,89.37066062,,1.039529977,,,
1078,801,898.333,97.3333,89.16515368,,0.662704249,,,
1099,803,915.833,112.833,87.67974074,,0.450706058,,,
1092,801,910,109,88.02197802,,0.108312844,,,
1099,807,915.833,108.833,88.11650159,,0.055030404,,,
1143,849,952.5,103.5,89.13385827,,0.61273056,,,
1083,808,902.5,94.5,89.52908587,,1.387680896,,,
1135,812,945.833,133.833,85.85025052,,6.25418405,,,
1097,791,914.167,123.167,86.52685997,,3.327804943,,,
1136,816,946.667,130.667,86.19715275,,4.639433583,,,
1061,796,884.167,88.1667,90.02824127,,2.812845812,,,
1084,820,903.333,83.3333,90.77494125,,5.875068482,,,
1084,815,903.333,88.3333,90.22143551,,3.498202823,,,
1096,801,913.333,112.333,87.70076193,,0.422922938,,,
1111,831,925.833,94.8333,89.75700801,,1.976613361,,,
1111,825,925.833,100.833,89.10894297,,0.574345389,,,
1090,814,908.333,94.3333,89.61471179,,1.596747118,,,
1116,802,930,128,86.23655914,,4.471228875,,,
1073,784,894.167,110.167,87.67937086,,0.451202834,,,
1070,776,891.667,115.667,87.02800485,,1.75054688,,,
1050,772,875,103,88.22857143,,0.015010112,,,
1095,802,912.5,110.5,87.89041096,,0.21222259,,,
1102,819,918.333,99.3333,89.18333546,,0.692637178,,,
1025,753,854.167,101.167,88.15606316,,0.038034373,,,
1022,741,851.667,110.667,87.00583679,,1.809698643,,,
1029,755,857.5,102.5,88.04664723,,0.092683689,,,
1098,805,915,110,87.97814208,,0.139088058,,,
1085,810,904.167,94.1667,89.58522043,,1.523084853,,,
1124,828,936.667,108.667,88.39854505,,0.002252249,,,
1062,792,885,93,89.49152542,,1.300599365,,,
1102,819,918.333,99.3333,89.18333546,,0.692637178,,,
1027,761,855.833,94.8333,88.91921672,,0.322771159,,,
1169,862,974.167,112.167,88.48585509,,0.018162388,,,
1114,824,928.333,104.333,88.7612527,,0.168235743,,,
1048,798,873.333,75.3333,91.37408068,,9.138489623,,,
1034,748,861.667,113.667,86.80847706,,2.379646023,,,
1076,789,896.667,107.667,87.99253234,,0.128561577,,,
1121,824,934.167,110.167,88.2069266,,0.020782276,,,
1136,829,946.667,117.667,87.5703917,,0.609485447,,,
1044,765,870,105,87.93103448,,0.176444277,,,
1165,875,970.833,95.8333,90.12878631,,3.160214162,,,
1191,879,992.5,113.5,88.56423174,,0.045430598,,,
1059,778,882.5,104.5,88.15864023,,0.037035834,,,
1028,741,856.667,115.667,86.49802082,,3.433854979,,,
1109,797,924.167,127.167,86.23982462,,4.457429638,,,
1003,726,835.833,109.833,86.85945637,,2.224962489,,,
1034,761,861.667,100.667,88.31718053,,0.001149661,,,
1050,774,875,101,88.45714286,,0.011247805,,,
1124,827,936.667,109.667,88.29178353,,0.003516925,,,
1040,769,866.667,97.6667,88.7307351,,0.144132538,,,
1047,777,872.5,95.5,89.05444126,,0.494706949,,,
1083,802,902.5,100.5,88.86426593,,0.263352417,,,
1113,819,927.5,108.5,88.30188679,,0.002420679,,,
1145,845,954.167,109.167,88.55892103,,0.043194904,,,
1140,824,950,126,86.73684211,,2.605787194,,,
1091,793,909.167,116.167,87.22269946,,1.273258869,,,
1111,817,925.833,108.833,88.24485625,,0.011285012,,,
1045,777,870.833,93.8333,89.22491454,,0.76357423,,,
1124,840,936.667,96.6667,89.67968339,,1.765167857,,,
1008,730,840,110,86.9047619,,2.091856831,,,
1072,798,893.333,95.3333,89.32839154,,0.955123793,,,
1022,754,851.667,97.6667,88.53225498,,0.032821767,,,
1060,763,883.333,120.333,86.37739109,,3.895476312,,,
1044,769,870,101,88.3908046,,0.001577472,,,
1041,769,867.5,98.5,88.64553314,,0.086698418,,,
1049,759,874.167,115.167,86.82551503,,2.327370406,,,
1012,751,843.333,92.3333,89.0514186,,0.49046408,,,
1064,771,886.667,115.667,86.95485453,,1.949465646,,,
1114,819,928.333,109.333,88.22265286,,0.016495376,,,
1029,761,857.5,96.5,88.74635569,,0.156237183,,,
1135,832,945.833,113.833,87.96478871,,0.149226516,,,
1136,823,946.667,123.667,86.93658911,,2.000804827,,,
1138,832,948.333,116.333,87.73289551,,0.38216095,,,
1140,854,950,96,89.89473684,,2.382854248,,,
1078,803,898.333,95.3333,89.38778827,,1.074749129,,,
1096,800,913.333,113.333,87.59127284,,0.577317841,,,
1096,799,913.333,114.333,87.48178375,,0.755688466,,,
1029,752,857.5,105.5,87.696793,,0.428100883,,,
1129,841,940.833,99.8333,89.38887135,,1.076995965,,,
1094,792,911.667,119.667,86.87382564,,2.182301686,,,
1066,796,888.333,92.3333,89.60603738,,1.574899968,,,
1140,857,950,93,90.21052632,,3.457513863,,,
1105,817,920.833,103.833,88.72401402,,0.139074419,,,
1086,804,905,101,88.83977901,,0.238819691,,,
1026,762,855,93,89.12280702,,0.595551492,,,
1073,786,894.167,108.167,87.90304272,,0.200743847,,,
1089,814,907.5,93.5,89.6969697,,1.811399723,,,
1115,825,929.167,104.167,88.78920582,,0.19194793,,,
1047,756,872.5,116.5,86.64756447,,2.901989658,,,
1064,785,886.667,101.667,88.5338013,,0.033384447,,,
1085,802,904.167,102.167,88.70042813,,0.122039092,,,
1151,844,959.167,115.167,87.99301894,,0.12821287,,,
1101,817,917.5,100.5,89.04632153,,0.483350782,,,
1145,841,954.167,113.167,88.1397072,,0.0446815,,,
1073,808,894.167,86.1667,90.36343323,,4.04953658,,,
1068,782,890,108,87.86516854,,0.236116935,,,
1082,777,901.667,124.667,86.17372045,,4.740925906,,,
1049,772,874.167,102.167,88.31264507,,0.001477797,,,
1049,779,874.167,95.1667,89.11340739,,0.581132091,,,
1118,825,931.667,106.667,88.55095222,,0.039946029,,,
1012,732,843.333,111.333,86.79845328,,2.410672058,,,
1064,797,886.667,89.6667,89.88718425,,2.359594187,,,
1129,833,940.833,107.833,88.53856104,,0.035146445,,,
