m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1039,706,865.833,159.833,81.53997364,82.66122449,1.25720346,1.440658905,0.089292964,82.66122449±0.089292964
1121,777,934.167,157.167,83.17570627,,0.264691503,,,
1043,724,869.167,145.167,83.29814639,,0.405669502,,,82.57193153
1101,773,917.5,144.5,84.2506812,,2.526372629,,,to
1077,749,897.5,148.5,83.454039,,0.628554843,,,82.75051746
1088,745,906.667,161.667,82.16908744,,0.242198878,,,
1138,807,948.333,141.333,85.09669072,,5.931495755,,,
1103,758,919.167,161.167,82.46597191,,0.038123571,,,
1183,819,985.833,166.833,83.07695117,,0.17282867,,,
1101,765,917.5,152.5,83.37874659,,0.51483797,,,
1092,750,910,160,82.41758242,,0.059361459,,,
1126,760,938.333,178.333,80.99470018,,2.77730329,,,
1101,757,917.5,160.5,82.50681199,,0.02384322,,,
1202,838,1001.67,163.667,83.66028732,,0.998126539,,,
1103,753,919.167,166.167,81.92200112,,0.546451196,,,
1168,810,973.333,163.333,83.21920658,,0.311344015,,,
1103,772,919.167,147.167,83.98909012,,1.763227136,,,
1113,765,927.5,162.5,82.47978437,,0.032920518,,,
1163,807,969.167,162.167,83.26738323,,0.367428414,,,
1080,738,900,162,82,,0.437217826,,,
1118,792,931.667,139.667,85.00891413,,5.511646642,,,
1017,690,847.5,157.5,81.4159292,,1.55076035,,,
1045,715,870.833,155.833,82.10529459,,0.309058058,,,
1086,751,905,154,82.98342541,,0.103813436,,,
1187,822,989.167,167.167,83.10022473,,0.192721215,,,
1119,759,932.5,173.5,81.39410188,,1.605599717,,,
1097,758,914.167,156.167,82.91701626,,0.065429428,,,
1112,767,926.667,159.667,82.7697544,,0.011778741,,,
1073,775,894.167,119.167,86.67284747,,16.0931189,,,
1038,715,865,150,82.65895954,,5.13001E-06,,,
1111,795,925.833,130.833,85.86861777,,10.28737168,,,
1152,792,960,168,82.5,,0.025993336,,,
1076,747,896.667,149.667,83.30851922,,0.418990463,,,
1070,723,891.667,168.667,81.08408184,,2.487378946,,,
1094,739,911.667,172.667,81.06029943,,2.562961049,,,
1101,772,917.5,145.5,84.14168937,,2.191776271,,,
1056,715,880,165,81.25,,1.991554561,,,
1073,734,894.167,160.167,82.08757425,,0.329074603,,,
1148,772,956.667,184.667,80.69683599,,3.858822163,,,
1079,733,899.167,166.167,81.51989564,,1.302631551,,,
1093,776,910.833,134.833,85.19673749,,6.428826183,,,
1143,787,952.5,165.5,82.62467192,,0.001336091,,,
1175,814,979.167,165.167,83.13188659,,0.221522816,,,
1110,777,925,148,84,,1.792319866,,,
1249,861,1040.83,179.833,82.72244267,,0.003747665,,,
1138,781,948.333,167.333,82.35503773,,0.093750329,,,
1027,708,855.833,147.833,82.72641976,,0.004250423,,,
1122,761,935,174,81.39037433,,1.615060125,,,
1110,778,925,147,84.10810811,,2.093472204,,,
1135,786,945.833,159.833,83.10135087,,0.193711233,,,
1091,744,909.167,165.167,81.83315057,,0.685706425,,,
1109,764,924.167,160.167,82.66904142,,6.11044E-05,,,
1105,771,920.833,149.833,83.7285371,,1.1391562,,,
1037,720,864.167,144.167,83.31722919,,0.43034217,,,
1119,773,932.5,159.5,82.89544236,,0.05485801,,,
1145,806,954.167,148.167,84.47158621,,3.27740956,,,
1034,727,861.667,134.667,84.37134067,,2.924497345,,,
1114,763,928.333,165.333,82.19033472,,0.221737177,,,
1102,755,918.333,163.333,82.21418592,,0.199843482,,,
1077,740,897.5,157.5,82.45125348,,0.044087824,,,
1074,740,895,155,82.68156425,,0.000413706,,,
1049,735,874.167,139.167,84.0800442,,2.013049375,,,
1143,802,952.5,150.5,84.19947507,,2.366214833,,,
1196,828,996.667,168.667,83.07689529,,0.172782216,,,
1075,738,895.833,157.833,82.381426,,0.078287194,,,
1074,750,895,145,83.79888268,,1.294266161,,,
1094,780,911.667,131.667,85.55755555,,8.388733637,,,
1044,705,870,165,81.03448276,,2.646288661,,,
1074,746,895,149,83.35195531,,0.477109062,,,
1089,777,907.5,130.5,85.61983471,,8.753374438,,,
1037,715,864.167,149.167,82.73863732,,0.005992747,,,
1059,733,882.5,149.5,83.05949008,,0.158615484,,,
1079,721,899.167,178.167,80.18532709,,6.130067955,,,
1146,791,955,164,82.82722513,,0.027556213,,,
1016,700,846.667,146.667,82.6771328,,0.000253074,,,
1143,755,952.5,197.5,79.26509186,,11.53371682,,,
