m,score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1086,856,905,49,94.58563536,96.37130307,3.188609174,1.036947899,0.064270697,96.37130307±0.064270697
1045,845,870.833,25.8333,97.03352996,,0.43854446,,,
1087,883,905.833,22.8333,97.4793367,,1.227738523,,,96.30703238
1107,890,922.5,32.5,96.47696477,,0.011164395,,,to
1085,882,904.167,22.1667,97.54835113,,1.385442146,,,96.43557377
1103,890,919.167,29.1667,96.82680079,,0.207478171,,,
1150,935,958.333,23.3333,97.56525133,,1.42551244,,,
1055,844,879.167,35.1667,95.9999636,,0.137893001,,,
1067,848,889.167,41.1667,95.37016106,,1.002285322,,,
1096,872,913.333,41.3333,95.4744874,,0.804278347,,,
1117,902,930.833,28.8333,96.90245189,,0.282119069,,,
1059,852,882.5,30.5,96.54390935,,0.029792927,,,
1070,868,891.667,23.6667,97.345758,,0.949562414,,,
1007,820,839.167,19.1667,97.71594927,,1.8080734,,,
1089,875,907.5,32.5,96.41873278,,0.002249578,,,
1104,891,920,29,96.84782609,,0.227074186,,,
1167,939,972.5,33.5,96.55526992,,0.033843803,,,
1083,863,902.5,39.5,95.6232687,,0.559555422,,,
1055,851,879.167,28.1667,96.79617183,,0.180513464,,,
1160,924,966.667,42.6667,95.58617394,,0.616427757,,,
1088,875,906.667,31.6667,96.50731746,,0.018499914,,,
1061,841,884.167,43.1667,95.11777752,,1.571326295,,,
1136,898,946.667,48.6667,94.85912153,,2.286693015,,,
1059,860,882.5,22.5,97.45042493,,1.164503987,,,
1105,888,920.833,32.8333,96.43442405,,0.003984258,,,
1129,912,940.833,28.8333,96.93537535,,0.318177541,,,
1190,962,991.667,29.6667,97.00837075,,0.405855233,,,
1061,846,884.167,38.1667,95.68328155,,0.473373609,,,
1013,812,844.167,32.1667,96.18949805,,0.033053065,,,
1120,877,933.333,56.3333,93.96431927,,5.793570999,,,
1065,859,887.5,28.5,96.78873239,,0.174247241,,,
1157,925,964.167,39.1667,95.93773693,,0.1879796,,,
1164,936,970,34,96.49484536,,0.015262698,,,
1049,838,874.167,36.1667,95.86268985,,0.258687405,,,
1115,895,929.167,34.1667,96.3228354,,0.002349115,,,
1022,821,851.667,30.6667,96.39917949,,0.000777095,,,
1050,859,875,16,98.17142857,,3.240451821,,,
1166,955,971.667,16.6667,98.28470042,,3.661089407,,,
1053,848,877.5,29.5,96.63817664,,0.071221501,,,
1124,882,936.667,54.6667,94.16366756,,4.873654556,,,
1110,921,925,4,99.56756757,,10.21610674,,,
1081,864,900.833,36.8333,95.91122883,,0.211668307,,,
1095,899,912.5,13.5,98.52054795,,4.619253534,,,
1025,820,854.167,34.1667,95.99996254,,0.137893792,,,
1097,875,914.167,39.1667,95.71555307,,0.430008067,,,
1095,878,912.5,34.5,96.21917808,,0.023142012,,,
1089,876,907.5,31.5,96.52892562,,0.024844868,,,
1079,876,899.167,23.1667,97.4235042,,1.107127216,,,
1034,810,861.667,51.6667,94.00383211,,5.604918761,,,
1079,874,899.167,25.1667,97.20107611,,0.688523293,,,
1041,847,867.5,20.5,97.63688761,,1.601704223,,,
1074,857,895,38,95.75418994,,0.38082861,,,
1031,838,859.167,21.1667,97.53633461,,1.357298495,,,
1008,804,840,36,95.71428571,,0.431671806,,,
1142,909,951.667,42.6667,95.51660402,,0.730510462,,,
1043,844,869.167,25.1667,97.10446899,,0.537532269,,,
1247,1016,1039.17,23.1667,97.77033594,,1.957292975,,,
1107,893,922.5,29.5,96.80216802,,0.185644607,,,
1012,818,843.333,25.3333,96.99608577,,0.390353421,,,
1116,900,930,30,96.77419355,,0.162320738,,,
1130,925,941.667,16.6667,98.23005372,,3.454953993,,,
1062,838,885,47,94.68926554,,2.829250263,,,
1032,825,860,35,95.93023256,,0.194543196,,,
1111,894,925.833,31.8333,96.56169093,,0.036247538,,,
1089,883,907.5,24.5,97.30027548,,0.862989742,,,
1125,915,937.5,22.5,97.6,,1.509696146,,,
1018,816,848.333,32.3333,96.1886429,,0.033364737,,,
1069,874,890.833,16.8333,98.11042025,,3.024528556,,,
1073,854,894.167,40.1667,95.50788611,,0.745488846,,,
1060,844,883.333,39.3333,95.54720587,,0.6791362,,,
1132,903,943.333,40.3333,95.72441545,,0.418463592,,,
1107,897,922.5,25.5,97.23577236,,0.747307149,,,
1173,946,977.5,31.5,96.77749361,,0.164990752,,,
1135,920,945.833,25.8333,97.26875675,,0.805423102,,,
1148,936,956.667,20.6667,97.83968716,,2.156151847,,,
1021,827,850.833,23.8333,97.19886276,,0.684855043,,,
1107,894,922.5,28.5,96.91056911,,0.290807857,,,
1181,961,984.167,23.1667,97.64602959,,1.624927692,,,
1146,930,955,25,97.38219895,,1.021910486,,,
1040,832,866.667,34.6667,95.99996308,,0.13789339,,,
1044,840,870,30,96.55172414,,0.032551762,,,
1049,837,874.167,37.1667,95.74829523,,0.388138763,,,
1157,917,964.167,47.1667,95.10800515,,1.595921639,,,
1112,880,926.667,46.6667,94.96399462,,1.980517081,,,
1075,862,895.833,33.8333,96.22329162,,0.02190739,,,
1039,837,865.833,28.8333,96.6699121,,0.089167351,,,
1139,922,949.167,27.1667,97.1378061,,0.587526891,,,
1141,933,950.833,17.8333,98.12448663,,3.07365261,,,
1055,822,879.167,57.1667,93.49759488,,8.258198747,,,
1073,867,894.167,27.1667,96.96175323,,0.348631391,,,
1085,875,904.167,29.1667,96.77415787,,0.162291991,,,
1065,846,887.5,41.5,95.32394366,,1.09696173,,,
1020,820,850,30,96.47058824,,0.009857544,,,
1155,929,962.5,33.5,96.51948052,,0.021956557,,,
1200,936,1000,64,93.6,,7.680120706,,,
1121,891,934.167,43.1667,95.37909175,,0.98448331,,,
1124,902,936.667,34.6667,96.29889811,,0.005242478,,,
1110,884,925,41,95.56756757,,0.645990758,,,
1079,858,899.167,41.1667,95.42165137,,0.901838346,,,
1025,829,854.167,25.1667,97.05362066,,0.465557296,,,
1086,865,905,40,95.5801105,,0.625985687,,,
1150,924,958.333,34.3333,96.41742484,,0.002127218,,,
1095,873,912.5,39.5,95.67123288,,0.490098276,,,
1053,834,877.5,43.5,95.04273504,,1.765093003,,,
1074,868,895,27,96.98324022,,0.37446708,,,
1067,851,889.167,38.1667,95.7075555,,0.440560839,,,
1059,852,882.5,30.5,96.54390935,,0.029792927,,,
1128,903,940,37,96.06382979,,0.09453982,,,
1140,924,950,26,97.26315789,,0.795405028,,,
1074,861,895,34,96.20111732,,0.02896319,,,
1115,884,929.167,45.1667,95.13897932,,1.518621819,,,
1030,829,858.333,29.3333,96.58256178,,0.044630242,,,
1152,938,960,22,97.70833333,,1.787649925,,,
1118,904,931.667,27.6667,97.03037673,,0.434378094,,,
1066,855,888.333,33.3333,96.2476909,,0.015279969,,,
1023,815,852.5,37.5,95.60117302,,0.593100293,,,
1104,885,920,35,96.19565217,,0.030853237,,,
1108,883,923.333,40.3333,95.63180348,,0.546859648,,,
1076,862,896.667,34.6667,96.13379326,,0.05641091,,,
1134,901,945,44,95.34391534,,1.05552554,,,
1037,822,864.167,42.1667,95.12050333,,1.564499993,,,
1052,840,876.667,36.6667,95.81745406,,0.306748724,,,
1082,862,901.667,39.6667,95.60070403,,0.593822882,,,
1045,836,870.833,34.8333,96.00003675,,0.137838683,,,
1010,817,841.667,24.6667,97.06926849,,0.487155724,,,
1070,850,891.667,41.6667,95.32706717,,1.09042862,,,
1065,840,887.5,47.5,94.64788732,,2.970161834,,,
1121,884,934.167,50.1667,94.62976106,,3.032968573,,,
1055,862,879.167,17.1667,98.04735619,,2.809154063,,,
1094,881,911.667,30.6667,96.63616211,,0.07015031,,,
1024,835,853.333,18.3333,97.85160072,,2.191281142,,,
1136,918,946.667,28.6667,96.97179684,,0.360592769,,,
1097,881,914.167,33.1667,96.37188829,,3.42479E-07,,,
1080,850,900,50,94.44444444,,3.712784163,,,
1127,901,939.167,38.1667,95.93607953,,0.189419533,,,
1067,871,889.167,18.1667,97.95685175,,2.513964617,,,
1040,843,866.667,23.6667,97.26919336,,0.806206969,,,
1046,850,871.667,21.6667,97.51430305,,1.306448963,,,
1114,888,928.333,40.3333,95.65533058,,0.512616612,,,
1111,898,925.833,27.8333,96.99373429,,0.387420625,,,
1011,807,842.5,35.5,95.78635015,,0.342169921,,,
1159,940,965.833,25.8333,97.325314,,0.910136861,,,
