m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,Δ: 1.96*S/√1000,confidence interval
1179,913,982.5,69.5,92.92620865,93.46208531,0.287163788,0.941685383,0.058366265,93.4620853052054±0.058366265
1212,946,1010,64,93.66336634,,0.040514054,,,
1107,861,922.5,61.5,93.33333333,,0.01657707,,,93.40371904
1167,906,972.5,66.5,93.16195373,,0.090078964,,,to
1194,945,995,50,94.97487437,,2.28853076,,,93.52045157
1299,989,1082.5,93.5,91.36258661,,4.407894792,,,
1218,947,1015,68,93.30049261,,0.026112199,,,
1131,880,942.5,62.5,93.36870027,,0.008720766,,,
1095,854,912.5,58.5,93.5890411,,0.016117773,,,
1179,925,982.5,57.5,94.1475827,,0.469906674,,,
1194,926,995,69,93.06532663,,0.157417444,,,
1161,896,967.5,71.5,92.60981912,,0.726357648,,,
1152,899,960,61,93.64583333,,0.033763338,,,
1152,913,960,47,95.10416667,,2.696431198,,,
1152,903,960,57,94.0625,,0.360497806,,,
1203,939,1002.5,63.5,93.66583541,,0.041514106,,,
1062,816,885,69,92.20338983,,1.584314298,,,
1146,891,955,64,93.29842932,,0.026783282,,,
1185,935,987.5,52.5,94.6835443,,1.491962085,,,
1167,904,972.5,68.5,92.9562982,,0.255820595,,,
1107,868,922.5,54.5,94.09214092,,0.39697008,,,
1218,951,1015,64,93.69458128,,0.054054379,,,
1191,933,992.5,59.5,94.00503778,,0.294797394,,,
1134,881,945,64,93.22751323,,0.05502406,,,
1179,911,982.5,71.5,92.72264631,,0.546770027,,,
1068,832,890,58,93.48314607,,0.000443556,,,
1092,843,910,67,92.63736264,,0.680167479,,,
1170,908,975,67,93.12820513,,0.111475973,,,
1134,877,945,68,92.8042328,,0.432769913,,,
1173,920,977.5,57.5,94.11764706,,0.429761213,,,
1191,914,992.5,78.5,92.0906801,,1.880752235,,,
1128,881,940,59,93.72340426,,0.068287594,,,
1254,988,1045,57,94.54545455,,1.173688911,,,
1185,914,987.5,73.5,92.55696203,,0.819248152,,,
1137,880,947.5,67.5,92.87598945,,0.343508356,,,
1194,934,995,61,93.86934673,,0.165861871,,,
1077,836,897.5,61.5,93.14763231,,0.098880685,,,
1137,890,947.5,57.5,93.93139842,,0.220254797,,,
1116,864,930,66,92.90322581,,0.312323939,,,
1170,913,975,62,93.64102564,,0.032019644,,,
1236,959,1030,71,93.10679612,,0.126230408,,,
1251,987,1042.5,55.5,94.67625899,,1.474217744,,,
1065,827,887.5,60.5,93.18309859,,0.077833586,,,
1101,866,917.5,51.5,94.38692098,,0.855321027,,,
1182,923,985,62,93.70558376,,0.059291496,,,
1071,827,892.5,65.5,92.66106443,,0.641634449,,,
1188,918,990,72,92.72727273,,0.539949525,,,
1164,897,970,73,92.4742268,,0.975864418,,,
1197,924,997.5,73.5,92.63157895,,0.68974081,,,
1218,946,1015,69,93.20197044,,0.067659741,,,
1086,853,905,52,94.25414365,,0.627356416,,,
1083,835,902.5,67.5,92.52077562,,0.886063917,,,
1185,931,987.5,56.5,94.27848101,,0.666501951,,,
1266,985,1055,70,93.36492891,,0.009439365,,,
1137,893,947.5,54.5,94.24802111,,0.617695086,,,
1137,878,947.5,69.5,92.66490765,,0.635492211,,,
1185,930,987.5,57.5,94.17721519,,0.511410752,,,
1146,889,955,66,93.08900524,,0.139188738,,,
1122,869,935,66,92.94117647,,0.271346014,,,
1251,972,1042.5,70.5,93.23741007,,0.05047896,,,
1086,827,905,78,91.38121547,,4.330019273,,,
1227,962,1022.5,60.5,94.08312958,,0.385695997,,,
1116,853,930,77,91.72043011,,3.033362828,,,
1083,850,902.5,52.5,94.18282548,,0.519466406,,,
1254,976,1045,69,93.39712919,,0.004219297,,,
1140,895,950,55,94.21052632,,0.560163946,,,
1218,954,1015,61,93.99014778,,0.278849981,,,
1176,911,980,69,92.95918367,,0.252910051,,,
1152,909,960,51,94.6875,,1.501641174,,,
1194,927,995,68,93.16582915,,0.087767712,,,
1191,932,992.5,60.5,93.90428212,,0.195538019,,,
1128,882,940,58,93.82978723,,0.135204708,,,
1113,872,927.5,55.5,94.01617251,,0.307012627,,,
1152,900,960,60,93.75,,0.082894871,,,
1080,844,900,56,93.77777778,,0.099661737,,,
1107,872,922.5,50.5,94.52574526,,1.131372494,,,
1128,864,940,76,91.91489362,,2.39380212,,,
1227,958,1022.5,64.5,93.69193154,,0.052829292,,,
1227,964,1022.5,58.5,94.27872861,,0.666906281,,,
1056,828,880,52,94.09090909,,0.395419353,,,
1122,885,935,50,94.65240642,,1.416864349,,,
1152,895,960,65,93.22916667,,0.054251092,,,
1146,895,955,60,93.71727749,,0.06512305,,,
1200,942,1000,58,94.2,,0.544518097,,,
1119,862,932.5,70.5,92.43967828,,1.045316117,,,
1143,886,952.5,66.5,93.0183727,,0.196880873,,,
1095,855,912.5,57.5,93.69863014,,0.055953457,,,
1158,900,965,65,93.2642487,,0.039139321,,,
1143,902,952.5,50.5,94.69816273,,1.527887399,,,
1113,860,927.5,67.5,92.72237197,,0.547175822,,,
1251,981,1042.5,61.5,94.10071942,,0.407853538,,,
1035,810,862.5,52.5,93.91304348,,0.203363274,,,
1197,929,997.5,68.5,93.13283208,,0.108407686,,,
1110,874,925,51,94.48648649,,1.04939778,,,
1170,913,975,62,93.64102564,,0.032019644,,,
1221,950,1017.5,67.5,93.36609337,,0.009214452,,,
1134,875,945,70,92.59259259,,0.756017577,,,
1161,896,967.5,71.5,92.60981912,,0.726357648,,,
1176,906,980,74,92.44897959,,1.026383186,,,
1209,937,1007.5,70.5,93.00248139,,0.211235759,,,
1104,869,920,51,94.45652174,,0.988903821,,,
1236,965,1030,65,93.68932039,,0.051635783,,,
1299,1002,1082.5,80.5,92.56351039,,0.807436874,,,
1059,831,882.5,51.5,94.16430595,,0.493113833,,,
1074,844,895,51,94.30167598,,0.704912497,,,
1272,981,1060,79,92.54716981,,0.837070361,,,
1242,951,1035,84,91.88405797,,2.490170267,,,
1224,951,1020,69,93.23529412,,0.051434243,,,
1137,885,947.5,62.5,93.40369393,,0.003409553,,,
1173,916,977.5,61.5,93.7084399,,0.060690585,,,
1113,865,927.5,62.5,93.26145553,,0.040252308,,,
1173,919,977.5,58.5,94.01534527,,0.306096587,,,
1212,965,1010,45,95.54455446,,4.336677762,,,
1050,834,875,41,95.31428571,,3.430646355,,,
1140,885,950,65,93.15789474,,0.092531902,,,
1074,838,895,57,93.63128492,,0.028628508,,,
1203,944,1002.5,58.5,94.16458853,,0.493510779,,,
1206,950,1005,55,94.52736318,,1.134816959,,,
1137,879,947.5,68.5,92.77044855,,0.478361403,,,
1209,939,1007.5,68.5,93.20099256,,0.068169424,,,
1188,930,990,60,93.93939394,,0.227823532,,,
1122,882,935,53,94.3315508,,0.75597025,,,
1197,943,997.5,54.5,94.53634085,,1.15402498,,,
1122,884,935,51,94.54545455,,1.173688911,,,
1137,893,947.5,54.5,94.24802111,,0.617695086,,,
1131,876,942.5,66.5,92.94429708,,0.268104644,,,
1104,873,920,47,94.89130435,,2.042667072,,,
1173,915,977.5,62.5,93.60613811,,0.02075121,,,
