m,R : score,5m/6,gap,a : R/(5m/6)*100,a's average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1233,961,1027.5,66.5,93.52798054,93.4548733,0.005344668,0.906936072,0.05621248,93.4548733Å}0.05621248
1212,949,1010,61,93.96039604,,0.25555324,,,
1245,973,1037.5,64.5,93.78313253,,0.107754122,,,93.39866082
1185,928,987.5,59.5,93.97468354,,0.27020269,,,to
1149,904,957.5,53.5,94.41253264,,0.917111406,,,93.51108578
1239,960,1032.5,72.5,92.97820823,,0.227209587,,,
1278,993,1065,72,93.23943662,,0.046412963,,,
1353,1069,1127.5,58.5,94.81152993,,1.840517221,,,
1164,894,970,76,92.16494845,,1.663906109,,,
1281,987,1067.5,80.5,92.45901639,,0.991730978,,,
1233,955,1027.5,72.5,92.94403893,,0.260951754,,,
1263,992,1052.5,60.5,94.25178147,,0.635062636,,,
1239,974,1032.5,58.5,94.33414044,,0.773110696,,,
1209,955,1007.5,52.5,94.78908189,,1.780112551,,,
1185,916,987.5,71.5,92.75949367,,0.483552829,,,
1134,882,945,63,93.33333333,,0.014771963,,,
1224,962,1020,58,94.31372549,,0.737627085,,,
1200,921,1000,79,92.1,,1.835681659,,,
1272,1001,1060,59,94.43396226,,0.9586152,,,
1266,992,1055,63,94.02843602,,0.328974193,,,
1272,987,1060,73,93.11320755,,0.116735487,,,
1086,849,905,56,93.8121547,,0.127649996,,,
1236,972,1030,58,94.36893204,,0.835503378,,,
1242,984,1035,51,95.07246377,,2.616598923,,,
1158,905,965,60,93.78238342,,0.107262878,,,
1257,982,1047.5,65.5,93.74701671,,0.08534777,,,
1260,985,1050,65,93.80952381,,0.125776984,,,
1281,999,1067.5,68.5,93.58313817,,0.016451878,,,
1317,1035,1097.5,62.5,94.30523918,,0.72312213,,,
1257,978,1047.5,69.5,93.36515513,,0.00804935,,,
1218,947,1015,68,93.30049261,,0.023833397,,,
1254,979,1045,66,93.68421053,,0.052595563,,,
1188,929,990,61,93.83838384,,0.147080333,,,
1191,927,992.5,65.5,93.40050378,,0.002956045,,,
1323,1031,1102.5,71.5,93.51473923,,0.003583929,,,
1254,984,1045,61,94.16267943,,0.500989512,,,
1179,909,982.5,73.5,92.51908397,,0.875701671,,,
1221,941,1017.5,76.5,92.48157248,,0.947314483,,,
1218,939,1015,76,92.51231527,,0.888415638,,,
1215,947,1012.5,65.5,93.5308642,,0.005774617,,,
1238,975,1031.67,56.6667,94.50696444,,1.106895759,,,
1329,1052,1107.5,55.5,94.98871332,,2.352665202,,,
1212,946,1010,64,93.66336634,,0.043469346,,,
1275,993,1062.5,69.5,93.45882353,,1.56043E-05,,,
1248,981,1040,59,94.32692308,,0.760470813,,,
1173,916,977.5,61.5,93.7084399,,0.064296019,,,
1128,887,940,53,94.36170213,,0.822338523,,,
1218,957,1015,58,94.28571429,,0.690296744,,,
1290,1022,1075,53,95.06976744,,2.607883089,,,
1179,905,982.5,77.5,92.11195929,,1.803418045,,,
1242,974,1035,61,94.10628019,,0.424330941,,,
1185,917,987.5,70.5,92.86075949,,0.352971215,,,
1143,899,952.5,53.5,94.3832021,,0.86179436,,,
1158,897,965,68,92.95336788,,0.251507691,,,
1143,879,952.5,73.5,92.28346457,,1.37219842,,,
1194,921,995,74,92.56281407,,0.795769669,,,
1107,867,922.5,55.5,93.98373984,,0.279699814,,,
1239,968,1032.5,64.5,93.75302663,,0.088895411,,,
1137,869,947.5,78.5,91.71503958,,3.027021381,,,
1296,1025,1080,55,94.90740741,,2.109855333,,,
1077,841,897.5,56.5,93.70473538,,0.062431057,,,
1194,923,995,72,92.7638191,,0.477555914,,,
1200,948,1000,52,94.8,,1.809365839,,,
1290,1008,1075,67,93.76744186,,0.097699105,,,
1251,980,1042.5,62.5,94.00479616,,0.302415155,,,
1191,942,992.5,50.5,94.91183879,,2.122748442,,,
1227,953,1022.5,69.5,93.20293399,,0.063473418,,,
1245,978,1037.5,59.5,94.26506024,,0.656402879,,,
1191,921,992.5,71.5,92.79596977,,0.434153857,,,
1209,943,1007.5,64.5,93.59801489,,0.020489514,,,
1203,924,1002.5,78.5,92.16957606,,1.651988996,,,
1410,1119,1175,56,95.23404255,,3.165443232,,,
1266,980,1055,75,92.89099526,,0.317958443,,,
1149,885,957.5,72.5,92.42819843,,1.054061282,,,
1242,974,1035,61,94.10628019,,0.424330941,,,
1125,855,937.5,82.5,91.2,,5.084453599,,,
1275,995,1062.5,67.5,93.64705882,,0.036935275,,,
1341,1053,1117.5,64.5,94.22818792,,0.598015501,,,
1158,895,965,70,92.74611399,,0.50233976,,,
1287,998,1072.5,74.5,93.05361305,,0.161009785,,,
1269,1001,1057.5,56.5,94.6572104,,1.445614507,,,
1245,955,1037.5,82.5,92.04819277,,1.97875011,,,
1299,1019,1082.5,63.5,94.13394919,,0.461144067,,,
1200,950,1000,50,95,,2.387416519,,,
1191,917,992.5,75.5,92.3929471,,1.127687247,,,
1248,980,1040,60,94.23076923,,0.602014495,,,
1224,956,1020,64,93.7254902,,0.073233504,,,
1182,920,985,65,93.40101523,,0.002900692,,,
1329,1040,1107.5,67.5,93.90519187,,0.202786818,,,
1209,937,1007.5,70.5,93.00248139,,0.204658441,,,
1290,1018,1075,57,94.69767442,,1.54455462,,,
1167,911,972.5,61.5,93.67609254,,0.048937954,,,
1308,1022,1090,68,93.76146789,,0.094000243,,,
1269,977,1057.5,80.5,92.38770686,,1.13884422,,,
1143,906,952.5,46.5,95.11811024,,2.766357106,,,
1167,914,972.5,58.5,93.98457584,,0.280584776,,,
1167,923,972.5,49.5,94.91002571,,2.117468527,,,
